"Timestamp"," Hur gammal är du?","Hur ofta lagar du mat hemma per vecka?","Hur ofta har du svårt att komma på vad du ska laga trots att du har ingredienser hemma?","Hur ofta slänger du mat som blivit gammal?","Skulle du vilja få recept baserat på ingredienserna du redan har hemma?","Skulle du vilja kunna ta bild på ingredienserna istället för att skriva in dem?","Hur viktigt är det att recepten anpassar sig efter dina kostpreferenser (t.ex. vegan/vegetarisk)?","Vad skulle du vilja ha för funktioner i en app som ger recept baserat på dina ingredienser?"
"2025/11/18 9:24:17 am CET","21–30","4–6 gånger","Alltid","Sällan","Ja","Ja","Inte så viktigt","spara recept "
"2025/11/18 10:16:09 am CET","21–30","4–6 gånger","Alltid","Ibland","Ja","Ja","Väldigt viktigt","Ai "
"2025/11/18 10:26:04 am CET","21–30","4–6 gånger","Ibland","Sällan","Nej","Kanske","Ganska viktigt","Recept som anpassar sig efter brister "
"2025/11/18 10:51:28 am CET","21–30","1–3 gånger","Sällan","Sällan","Kanske","Ja","Väldigt viktigt","Marcos + kalorier per portion eller något liknande "
"2025/11/18 11:04:55 am CET","21–30","1–3 gånger","Ofta","Ibland","Ja","Ja","Ganska viktigt","Kalloriinnehåll "
"2025/11/18 11:05:17 am CET","21–30","1–3 gånger","Ibland","Sällan","Kanske","Ja","Inte så viktigt","Att man kan välja hur lång tid det tar att laga receptet "
"2025/11/18 11:05:34 am CET","21–30","1–3 gånger","Ofta","Ofta","Ja","Ja","Ganska viktigt","Att jag kan spara receptet på appen, så att jag kan återkomma till den senare "
"2025/11/18 11:07:25 am CET","21–30","4–6 gånger","Ibland","Sällan","Ja","Nej","Ganska viktigt","Välja hur mycket man vill få i sig av en grej (tex 40g protein) / specificiera ingredienser man helst vill ha med (tex jag vill ha en risrätt men allt annat är öppet)"
"2025/11/18 11:08:20 am CET","21–30","1–3 gånger","Sällan","Sällan","Ja","Ja","Inte så viktigt","Att den tar hänsyn till hur mycket av ingredienserna man har hemma.
"
"2025/11/18 11:11:22 am CET","21–30","4–6 gånger","Ibland","Ofta","Ja","Ja","Ganska viktigt","Ja"
"2025/11/18 11:12:55 am CET","21–30","4–6 gånger","Ibland","Sällan","Nej","Nej","Inte viktigt alls","Bra mellanlager tips på goof mat"
"2025/11/18 11:22:54 am CET","21–30","1–3 gånger","Ofta","Sällan","Ja","Kanske","Ganska viktigt","Idk"
"2025/11/18 11:28:02 am CET","21–30","1–3 gånger","Ofta","Ibland","Ja","Ja","Väldigt viktigt","Ändra antal portioner. Info kring hur länge det håller i kylen."
"2025/11/18 11:39:49 am CET","21–30","4–6 gånger","Sällan","Ibland","Ja","Ja","Väldigt viktigt","Närings information "
"2025/11/18 11:55:09 am CET","21–30","1–3 gånger","Ofta","Aldrig","Ja","Ja","Ganska viktigt","Kunna spara/bokmärka recept"
"2025/11/18 1:19:35 pm CET","21–30","7+ gånger","Sällan","Aldrig","Ja","Ja","Väldigt viktigt","Bra app ide försök sälj den till ica eller liknande."
"2025/11/18 1:30:18 pm CET","21–30","4–6 gånger","Ofta","Sällan","Ja","Ja","Inte viktigt alls","visa recept"
"2025/11/18 1:54:35 pm CET","21–30","1–3 gånger","Ofta","Aldrig","Ja","Ja","Väldigt viktigt","Choice overload här"
"2025/11/18 2:23:26 pm CET","21–30","1–3 gånger","Alltid","Ofta","Ja","Ja","Inte viktigt alls","mått på ingredienser "
"2025/11/18 4:41:30 pm CET","21–30","1–3 gånger","Ofta","Ofta","Kanske","Kanske","Ganska viktigt","Att man kan spara recept, kanske recensera och kommentera recept"
"2025/11/18 9:58:33 pm CET","51+","4–6 gånger","Ibland","Sällan","Kanske","Kanske","Ganska viktigt","Förslag på inköp till nästa vecka! "
"2025/11/19 6:37:19 pm CET","21–30","7+ gånger","Ofta","Ibland","Ja","Ja","Väldigt viktigt","Olika alternativ, svårhetsnivåer (lätt och snabbt till svårt och tar längre tid) men kanske också att det är baserat på den typen av mat man brukar gilla "
"2025/11/19 11:24:27 pm CET","21–30","4–6 gånger","Ibland","Sällan","Kanske","Ja","Ganska viktigt","Filterfunktioner som gör att man slipper skrolla förbi recept man ändå inte vill laga."
